Rank,School,Conf,Prev,Quad 1 W,Quad 1 L,Quad 2 W,Quad 2 L,Quad 3 W,Quad 3 L,Quad 4 W,Quad 4 L,W,L,Road W,Road L,Home W,Home L,Neutral W,Neutral L,Non-Div I W,Non-Div I L
173,Duquesne,Atlantic 10,159,0,2,1,2,0,2,6,1,7,7,1,4,6,2,0,1,2,0
174,UNLV,Mountain West,177,1,1,1,1,1,2,3,3,6,7,2,1,4,3,0,3,1,0
175,Siena,MAAC,174,0,1,0,1,0,2,10,1,10,5,4,4,4,1,2,0,0,0
176,UT Martin,OVC,175,0,0,1,2,1,2,6,0,8,4,3,3,4,0,1,1,3,0
177,Robert Morris,Horizon,176,0,1,0,2,3,2,6,1,9,6,4,5,5,1,0,0,2,0
178,UC Santa Barbara,Big West,179,0,0,0,2,1,4,6,0,7,6,1,4,4,1,2,1,2,0
179,South Dakota St.,Summit League,180,0,1,0,4,0,3,5,1,5,9,2,4,2,1,1,4,3,0
180,Southern Miss.,Sun Belt,182,0,2,0,2,1,3,6,0,7,7,3,5,2,1,2,1,2,0
181,Rutgers,Big Ten,183,0,4,0,2,2,0,6,1,8,7,0,2,7,3,1,2,0,0
182,Weber St.,Big Sky,184,0,1,0,3,0,3,5,1,5,8,1,5,4,3,0,0,2,0
183,Drake,MVC,166,0,2,0,2,2,2,4,2,6,8,2,2,2,5,2,1,2,0
184,Colgate,Patriot,178,0,3,0,1,1,1,6,2,7,7,3,5,2,2,2,0,2,0
185,Kennesaw St.,CUSA,198,0,1,0,3,1,0,5,2,6,6,2,3,3,1,1,2,3,0
186,Northern Ky.,Horizon,187,0,1,0,1,1,1,8,2,9,5,3,3,6,2,0,0,3,0
187,Utah Tech,WAC,186,0,3,0,2,2,1,4,1,6,7,3,5,2,1,1,1,3,0
188,UTRGV,Southland,185,0,3,0,1,1,2,3,3,4,9,2,5,2,4,0,0,2,0
189,FGCU,ASUN,192,0,3,0,0,0,3,5,2,5,8,2,5,3,3,0,0,2,0
190,Towson,CAA,188,0,3,0,2,3,1,3,2,6,8,0,6,3,1,3,1,2,0
191,Massachusetts,MAC,190,0,0,0,0,2,6,6,1,8,7,0,2,5,3,3,2,1,0
192,Vermont,America East,189,0,0,0,2,1,3,6,2,7,7,4,3,2,2,1,2,2,0
193,Valparaiso,MVC,215,0,1,1,4,0,2,6,1,7,8,1,5,6,3,0,0,1,0
194,Navy,Patriot,204,0,1,0,3,0,0,9,1,9,5,3,3,5,1,1,1,2,0
195,Ohio,MAC,191,0,2,1,1,3,3,3,1,7,7,2,2,4,3,1,2,2,0
196,Boston College,ACC,193,0,0,0,3,1,4,6,1,7,8,1,2,6,3,0,3,0,0
197,Nicholls,Southland,197,0,4,0,1,2,2,4,1,6,8,2,8,4,0,0,0,1,0
198,Milwaukee,Horizon,196,0,4,0,2,1,2,5,1,6,9,1,8,4,1,1,0,1,0
199,Charleston So.,Big South,200,0,1,1,1,0,3,7,2,8,7,4,6,4,0,0,1,3,0
200,Tulane,American,202,0,1,0,2,3,0,7,1,10,4,2,0,7,2,1,2,1,0
201,South Alabama,Sun Belt,194,0,0,0,3,3,1,6,1,9,5,5,4,1,1,3,0,2,0
202,UIW,Southland,203,0,2,1,2,0,3,4,0,5,7,0,6,4,0,1,1,3,0
203,Iona,MAAC,199,0,1,0,1,2,2,8,2,10,6,4,3,5,1,1,2,0,0
204,Tennessee St.,OVC,205,0,2,0,0,1,1,5,2,6,5,5,4,1,1,0,0,3,0
205,Montana,Big Sky,206,0,3,0,0,2,2,3,1,5,6,2,3,3,3,0,0,3,1
206,Indiana St.,MVC,207,0,2,1,1,1,3,4,2,6,8,2,6,4,1,0,1,2,0
207,Missouri St.,CUSA,201,0,1,0,2,1,2,5,1,6,6,1,4,5,2,0,0,3,0
208,Southeast Mo. St.,OVC,212,0,3,0,0,1,2,4,2,5,7,2,5,2,2,1,0,3,0
209,Ga. Southern,Sun Belt,208,0,0,0,1,1,1,9,3,10,5,5,3,5,0,0,2,2,0
210,Abilene Christian,WAC,210,0,2,0,2,2,0,4,2,6,6,2,4,3,1,1,1,3,0
211,CSUN,Big West,209,0,1,0,2,2,4,5,0,7,7,2,5,5,0,0,2,2,0
212,Youngstown St.,Horizon,195,0,0,1,2,1,4,4,3,6,9,2,5,3,3,1,1,2,0
213,Lindenwood,OVC,213,0,3,0,0,1,1,6,2,7,6,2,6,4,0,1,0,3,0
214,UIC,MVC,234,0,2,0,2,1,5,3,1,4,10,1,6,2,3,1,1,2,0
215,Wofford,SoCon,211,0,1,0,2,0,2,9,0,9,5,5,4,4,1,0,0,2,0
216,Harvard,Ivy League,214,0,1,0,1,2,3,4,3,6,8,3,5,3,2,0,1,1,0
217,Penn,Ivy League,219,0,1,0,2,0,2,6,2,6,7,1,5,5,1,0,1,1,0
218,Monmouth,CAA,216,0,1,0,1,1,3,5,3,6,8,2,5,3,2,1,1,1,0
219,Central Ark.,ASUN,217,0,4,0,1,0,1,5,2,5,8,0,7,5,1,0,0,2,0
220,Campbell,CAA,220,0,3,0,4,2,1,4,0,6,8,1,8,4,0,1,0,2,0
221,San Diego,WCC,221,0,3,1,2,2,2,2,3,5,10,1,5,4,4,0,1,1,0
222,New Orleans,Southland,225,1,3,0,2,2,2,2,3,5,10,3,9,2,1,0,0,0,0
223,Grambling,SWAC,224,0,2,0,1,0,3,6,1,6,7,1,7,3,0,2,0,2,0
224,Oregon St.,WCC,226,0,0,1,3,4,4,3,2,8,9,1,3,7,3,0,3,0,0
225,Fordham,Atlantic 10,222,0,0,0,1,0,4,6,2,6,7,0,2,5,4,1,1,3,0
226,Green Bay,Horizon,229,0,1,0,5,1,1,5,1,6,8,2,6,2,1,2,1,2,0
227,Northeastern,CAA,223,0,1,0,1,3,3,2,4,5,9,3,7,1,2,1,0,0,0
228,James Madison,Sun Belt,218,0,2,1,1,1,3,5,2,7,8,2,7,4,1,1,0,1,0
229,Denver,Summit League,227,0,3,1,3,2,1,2,2,5,9,3,7,2,2,0,0,3,0
230,Cal St. Fullerton,Big West,228,0,3,0,2,2,4,2,1,4,10,1,6,2,3,1,1,2,0
231,App State,Sun Belt,232,0,1,1,2,1,1,5,3,7,7,3,5,3,2,1,0,2,0
