Team,MP,FG,FGA,FT,FTA,3P,3PA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,L,FG%,FT%,3P%,2P%
Ball State,2399.0,282.0,696.0,146.0,218.0,81.0,278.0,97.0,243.0,340.0,153.0,92.0,37.0,128.0,197.0,791.0,3.0,9.0,0.41,0.68,0.29,0.48
Baylor,2200.0,356.0,712.0,209.0,276.0,102.0,268.0,146.0,268.0,414.0,193.0,77.0,52.0,115.0,176.0,1023.0,9.0,2.0,0.5,0.77,0.38,0.58
Bellarmine,2200.0,306.0,595.0,161.0,199.0,82.0,233.0,58.0,224.0,282.0,163.0,84.0,17.0,122.0,166.0,855.0,5.0,6.0,0.52,0.81,0.35,0.62
Belmont,2599.0,403.0,779.0,164.0,246.0,140.0,352.0,109.0,362.0,471.0,245.0,86.0,42.0,175.0,218.0,1110.0,12.0,1.0,0.52,0.65,0.4,0.62
Belmont Abbey,200.0,21.0,52.0,4.0,13.0,5.0,24.0,6.0,18.0,24.0,10.0,3.0,0.0,17.0,19.0,51.0,0.0,1.0,0.4,0.31,0.21,0.57
Benedictine (IL),200.0,23.0,64.0,6.0,9.0,10.0,37.0,8.0,21.0,29.0,19.0,5.0,2.0,16.0,25.0,62.0,0.0,1.0,0.36,0.67,0.27,0.48
Berea,200.0,23.0,61.0,9.0,11.0,9.0,28.0,9.0,22.0,31.0,19.0,8.0,1.0,18.0,15.0,64.0,0.0,1.0,0.38,0.82,0.32,0.42
Bethany (WV),400.0,42.0,116.0,12.0,20.0,20.0,58.0,12.0,46.0,58.0,22.0,13.0,5.0,51.0,40.0,116.0,0.0,2.0,0.36,0.59,0.35,0.38
Bethel (TN),400.0,50.0,135.0,28.0,37.0,8.0,45.0,23.0,39.0,62.0,22.0,22.0,8.0,35.0,47.0,136.0,0.0,2.0,0.37,0.75,0.18,0.46
Bethesda University (CA),1175.0,119.0,405.0,61.0,91.0,43.0,158.0,40.0,88.0,128.0,46.0,37.0,10.0,89.0,123.0,342.0,0.0,6.0,0.29,0.65,0.26,0.3
Bethune-Cookman,2225.0,284.0,663.0,141.0,213.0,68.0,199.0,102.0,231.0,333.0,133.0,88.0,42.0,119.0,189.0,777.0,3.0,8.0,0.43,0.69,0.34,0.47
Binghamton,2625.0,270.0,634.0,243.0,323.0,62.0,216.0,89.0,283.0,372.0,138.0,69.0,43.0,184.0,201.0,845.0,3.0,10.0,0.43,0.75,0.3,0.51
Bloomfield,225.0,35.0,76.0,11.0,14.0,12.0,34.0,9.0,18.0,27.0,20.0,13.0,2.0,12.0,15.0,93.0,0.0,1.0,0.46,0.79,0.35,0.55
Bloomsburg,200.0,14.0,50.0,10.0,11.0,5.0,20.0,6.0,15.0,21.0,9.0,3.0,5.0,17.0,10.0,43.0,0.0,1.0,0.28,0.91,0.25,0.3
Blue Mountain Christian University,400.0,42.0,129.0,27.0,34.0,9.0,52.0,17.0,34.0,51.0,17.0,12.0,4.0,24.0,29.0,120.0,0.0,2.0,0.32,0.79,0.17,0.43
Bluefield State,200.0,22.0,47.0,8.0,13.0,9.0,18.0,8.0,22.0,30.0,10.0,7.0,6.0,21.0,17.0,61.0,0.0,1.0,0.47,0.62,0.5,0.45
Bluefield University,200.0,23.0,60.0,22.0,32.0,8.0,16.0,5.0,17.0,22.0,13.0,10.0,3.0,9.0,24.0,76.0,0.0,1.0,0.38,0.69,0.5,0.34
Bob Jones University,600.0,62.0,181.0,18.0,29.0,23.0,79.0,17.0,46.0,63.0,33.0,24.0,6.0,56.0,52.0,165.0,0.0,3.0,0.34,0.62,0.29,0.39
Boise State,2200.0,269.0,627.0,194.0,255.0,90.0,257.0,102.0,256.0,358.0,145.0,53.0,15.0,125.0,188.0,822.0,7.0,4.0,0.43,0.79,0.36,0.48
Boston College,2275.0,264.0,657.0,164.0,235.0,82.0,294.0,115.0,283.0,398.0,123.0,52.0,60.0,114.0,187.0,774.0,5.0,6.0,0.4,0.71,0.28,0.5
Boston University,2650.0,347.0,714.0,147.0,221.0,127.0,329.0,104.0,267.0,371.0,192.0,74.0,42.0,141.0,231.0,970.0,5.0,8.0,0.49,0.66,0.39,0.59
Bowie State,200.0,16.0,44.0,33.0,41.0,4.0,16.0,7.0,19.0,26.0,5.0,11.0,4.0,23.0,25.0,69.0,0.0,1.0,0.36,0.8,0.25,0.43
Bowling Green,2400.0,358.0,735.0,222.0,296.0,89.0,259.0,110.0,293.0,403.0,194.0,148.0,45.0,140.0,211.0,1027.0,9.0,3.0,0.48,0.75,0.34,0.56
Boyce,200.0,27.0,64.0,7.0,12.0,7.0,26.0,4.0,22.0,26.0,8.0,4.0,6.0,21.0,21.0,68.0,0.0,1.0,0.42,0.58,0.27,0.53
Bradley,2675.0,345.0,778.0,215.0,296.0,115.0,336.0,107.0,293.0,400.0,174.0,132.0,46.0,131.0,241.0,1020.0,9.0,4.0,0.44,0.74,0.35,0.52
Brandeis,200.0,24.0,61.0,1.0,6.0,12.0,31.0,7.0,22.0,29.0,15.0,5.0,3.0,10.0,18.0,61.0,0.0,1.0,0.39,0.17,0.39,0.4
Brescia,400.0,36.0,128.0,22.0,30.0,9.0,52.0,14.0,41.0,55.0,19.0,23.0,5.0,28.0,41.0,103.0,0.0,2.0,0.28,0.75,0.17,0.35
Brevard,200.0,25.0,54.0,8.0,11.0,5.0,20.0,2.0,18.0,20.0,14.0,10.0,1.0,12.0,17.0,63.0,0.0,1.0,0.46,0.73,0.25,0.59
Brewton-Parker,400.0,37.0,111.0,16.0,21.0,13.0,36.0,14.0,39.0,53.0,21.0,8.0,5.0,34.0,34.0,103.0,0.0,2.0,0.34,0.71,0.36,0.32
Brown,2450.0,312.0,710.0,132.0,191.0,94.0,269.0,112.0,283.0,395.0,183.0,96.0,56.0,146.0,204.0,850.0,5.0,7.0,0.44,0.69,0.34,0.5
Bryan,800.0,79.0,231.0,24.0,38.0,23.0,85.0,31.0,80.0,111.0,42.0,17.0,6.0,86.0,66.0,205.0,0.0,4.0,0.35,0.61,0.3,0.39
Bryant,2400.0,264.0,673.0,133.0,180.0,102.0,347.0,87.0,272.0,359.0,159.0,78.0,51.0,166.0,186.0,763.0,3.0,9.0,0.39,0.78,0.3,0.49
Bryant & Stratton Albany,200.0,13.0,70.0,6.0,11.0,4.0,28.0,7.0,14.0,21.0,7.0,8.0,4.0,11.0,14.0,36.0,0.0,1.0,0.19,0.55,0.14,0.21
Bucknell,2600.0,286.0,716.0,161.0,220.0,99.0,317.0,102.0,262.0,364.0,157.0,89.0,28.0,177.0,236.0,832.0,3.0,10.0,0.4,0.73,0.31,0.47
Buena Vista,200.0,18.0,53.0,4.0,7.0,12.0,35.0,2.0,12.0,14.0,13.0,4.0,1.0,13.0,8.0,52.0,0.0,1.0,0.34,0.57,0.34,0.33
Buffalo,2400.0,298.0,635.0,236.0,314.0,108.0,287.0,95.0,253.0,348.0,144.0,93.0,33.0,118.0,198.0,940.0,10.0,2.0,0.47,0.75,0.38,0.55
Butler,2450.0,352.0,752.0,220.0,326.0,98.0,275.0,148.0,304.0,452.0,198.0,89.0,51.0,136.0,180.0,1022.0,9.0,3.0,0.47,0.68,0.36,0.53
CCNY,200.0,21.0,62.0,6.0,8.0,4.0,28.0,4.0,22.0,26.0,10.0,2.0,4.0,14.0,16.0,52.0,0.0,1.0,0.34,0.75,0.14,0.5
